"tax_genus"	"n_sources"
Acaryochloris	17
Adonisia	4
Aetokthonos	5
Aliterella	3
Alkalinema	6
Allocoleopsis	1
Amazonocrinis	1
Anabaena	64
Anabaenopsis	4
Ancylothrix	2
Anthocerotibacter	1
Aphanizomenon	38
Aphanocapsa	2
Aphanothece	8
Argonema	4
Arthrospira	20
Atlanticothrix	1
Aulosira	4
Baaleninema	1
Brasilonema	11
Calothrix	38
Candidatus Atelocyanobacterium	6
Candidatus Cyanaurora	2
Candidatus Paraprochloron	1
Chamaesiphon	11
Chlorogloea	3
Chlorogloeopsis	6
Chondrocystis	1
Chroococcidiopsis	16
Chroococcus	3
Chroogloeocystis	2
Coleofasciculus	31
Crinalium	1
Crocosphaera	19
Cuspidothrix	4
Cyanobacterium	14
Cyanobium	131
Cyanomargarita	1
Cyanosarcina	1
Cyanothece	2
Cylindrospermopsis	62
Cylindrospermum	5
Dactylococcopsis	1
Dendronalium	1
Desertifilum	10
Desmonostoc	9
Dolichospermum	85
Drouetiella	1
Dulcicalothrix	4
Elainella	3
Euhalothece	1
Fischerella	64
Fortiea	4
Geitlerinema	6
Geminocystis	8
Gloeobacter	3
Gloeocapsa	5
Gloeocapsopsis	7
Gloeomargarita	2
Gloeothece	2
Gloeotrichia	1
Goleter	1
Gomphosphaeria	1
Halomicronema	3
Halothece	2
Hapalosiphon	1
Hassalia	3
Hormoscilla	1
Hydrococcus	8
Hydrocoleum	2
Hyella	2
Iningainema	1
Iphinoe	1
Jacksonvillea	1
Kaiparowitsia	1
Kamptonema	8
Kastovskya	1
Koinonema	1
Komarekiella	3
Kovacikia	1
Laspinema	8
Leptodesmis	1
Leptolyngbya	84
Leptothermofonsia	1
Leptothoe	3
Limnoraphis	4
Limnospira	6
Limnothrix	16
Lusitaniella	2
Lyngbya	12
Mastigocladopsis	2
Mastigocladus	1
Mastigocoleus	3
Merismopedia	3
Microchaete	1
Microcoleus	66
Microcystis	329
Microseira	3
Mojavia	1
Moorena	16
Myxacorys	4
Myxosarcina	2
Neosynechococcus	2
Nodosilinea	19
Nodularia	61
Nostoc	207
Oculatella	4
Okeania	18
Oscillatoria	15
Oxynema	2
Pantanalinema	1
Parasynechococcus	1
Pegethrix	1
Pelatocladus	1
Petrachloros	1
Phormidesmis	10
Phormidium	32
Picosynechococcus	1
Planktothricoides	6
Planktothrix	87
Plectolyngbya	1
Plectonema	4
Pleurocapsa	14
Prochlorococcus	922
Prochloron	2
Prochlorothrix	2
Pseudanabaena	74
Raphidiopsis	2
Rhizonema	3
Richelia	21
Rippkaea	1
Rivularia	6
Roholtiella	2
Romeria	2
Romeriopsis	2
Roseofilum	11
Rubidibacter	2
Scytolyngbya	1
Scytonema	17
Scytonematopsis	1
Shackletoniella	1
Snowella	2
Sodalinema	2
Sphaerospermopsis	19
Spirirestis	1
Spirulina	15
Stanieria	2
Stenomitos	3
Stigonema	1
Symploca	2
Symplocastrum	2
Synechococcus	545
Synechocystis	37
Thermoleptolyngbya	5
Thermostichus	4
Thermosynechococcus	19
Tildeniella	2
Timaviella	1
Tolypothrix	19
Trichocoleus	17
Trichodesmium	26
Trichormus	25
Trichothermofontia	1
Tychonema	12
Umezakia	1
Unclassified	706
Vulcanococcus	17
Waterburya	1
Westiellopsis	2
Woronichinia	1
Xenococcus	2
Zarconia	2
